N = 10
x	Shooting	Newton	Difference
0.000	0.000000	0.000000	0.000000
0.111	0.204844	0.188666	0.016179
0.222	0.410349	0.378523	0.031826
0.333	0.617639	0.571756	0.045883
0.444	0.828186	0.771212	0.056974
0.556	1.043748	0.980306	0.063442
0.667	1.266337	1.202981	0.063356
0.778	1.498208	1.443711	0.054497
0.889	1.741852	1.707516	0.034336
1.000	1.999999	2.000000	0.000001

N = 100
x	Shooting	Newton	Difference
0.000	0.000000	0.000000	0.000000
0.101	0.186208	0.171298	0.014909
0.202	0.372889	0.343505	0.029384
0.303	0.560849	0.518165	0.042683
0.404	0.751141	0.697310	0.053831
0.505	0.945020	0.883370	0.061650
0.606	1.143923	1.079146	0.064777
0.707	1.349454	1.287799	0.061654
0.808	1.563378	1.512858	0.050520
0.909	1.787625	1.758232	0.029392

N = 1000
x	Shooting	Newton	Difference
0.000	0.000000	0.000000	0.000000
0.100	0.184529	0.169751	0.014778
0.200	0.369517	0.340383	0.029134
0.300	0.555743	0.513393	0.042351
0.400	0.744229	0.690746	0.053483
0.501	0.936190	0.874798	0.061392
0.601	1.133018	1.068261	0.064757
0.701	1.336264	1.274192	0.062072
0.801	1.547639	1.496005	0.051634
0.901	1.769009	1.737479	0.031530

N = 10000
x	Shooting	Newton	Difference
0.000	0.000000	0.000000	0.000000
0.100	0.184363	0.169598	0.014764
0.200	0.369183	0.340074	0.029109
0.300	0.555238	0.512920	0.042317
0.400	0.743545	0.690097	0.053448
0.500	0.935317	0.873951	0.061366
0.600	1.131939	1.067185	0.064754
0.700	1.334959	1.272849	0.062111
0.800	1.546083	1.494342	0.051741
0.900	1.767171	1.735433	0.031738
